ZTIME,WSR_ID,CELL_ID,STR_RANK,SCIT_ID,RANGE,AZIMUTH,LL_ROT_VEL,LL_DV,LL_BASE,DEPTH_KFT,DPTH_STMRL,MAX_RV_KFT,MAX_RV_KTS,TVS,MOTION_DEG,MOTION_KTS,MSI,LAT,LON
2011-05-24T00:00:31Z,KINX,844,6,H4,117,256,36,47,16,22,93,16,36,N,318,15,2512,35.680,-97.887
2011-05-24T00:00:31Z,KINX,856,7,W3,99,263,32,28,12,25,80,21,32,N,291,29,3341,35.957,-97.582
2011-05-24T00:01:01Z,KDDC,362,5L,V1,154,134,23,26,27,23,41,27,23,N,-999,-999,1909,35.953,-97.695
2011-05-24T00:01:05Z,KOKC,231,3,I2,44,216,26,38,6,12,0,13,27,N,-999,-999,2189,34.681,-98.033
2011-05-24T00:01:05Z,KOKC,229,4,C2,41,355,27,45,3,27,0,6,27,N,-999,-999,2703,35.958,-97.583
2011-05-24T00:01:05Z,KOKC,228,7,Y1,43,9,17,17,4,40,0,14,60,N,-999,-999,5270,35.985,-97.372
2011-05-24T00:02:33Z,KSRX,346,8L,A2,154,286,53,97,26,29,51,26,53,N,46,7,5067,35.961,-97.402
2011-05-24T00:02:33Z,KSRX,765,8L,A2,157,286,35,39,27,23,47,27,35,N,257,37,3251,35.973,-97.462
2011-05-24T00:02:33Z,KSRX,880,6L,A2,151,287,31,29,25,29,55,25,31,N,-999,-999,2559,35.991,-97.328
2011-05-24T00:03:22Z,KVNX,747,5,G0,112,188,28,24,16,28,65,20,35,N,277,34,2879,34.889,-98.444
2011-05-24T00:04:59Z,KINX,844,5,H4,115,256,30,31,16,17,74,16,30,N,292,17,2151,35.689,-97.848
2011-05-24T00:04:59Z,KINX,856,6,W3,98,262,30,37,12,31,83,12,30,N,297,22,3084,35.931,-97.556
2011-05-24T00:07:05Z,KOKC,249,4,Y1,41,7,22,23,3,39,0,38,40,N,-999,-999,2893,35.955,-97.407
2011-05-24T00:07:05Z,KOKC,248,6,Q2,43,360,39,60,4,35,0,4,39,N,-999,-999,3950,35.994,-97.510
2011-05-24T00:09:27Z,KINX,844,6,H4,114,257,31,43,15,27,79,15,31,N,251,16,2826,35.725,-97.838
2011-05-24T00:09:27Z,KINX,856,8,W3,97,262,39,56,12,30,91,12,39,N,272,21,4226,35.933,-97.536
2011-05-24T00:11:37Z,KFDR,207,12,E8,104,20,52,97,14,20,80,18,56,N,22,10,5909,35.991,-98.247
2011-05-24T00:11:41Z,KSRX,765,7L,A2,153,287,41,50,26,30,54,39,43,N,249,29,2937,36.000,-97.368
