ZTIME,WSR_ID,CELL_ID,CELL_TYPE,RANGE,AZIMUTH,MAX_SHEAR,MXDV,LAT,LON
2011-05-24T00:07:05Z,KOKC,H2,TVS,30,330,36,67,35.709,-97.817
2011-05-24T00:07:05Z,KOKC,M2,TVS,42,359,25,66,35.977,-97.525
2011-05-24T00:11:59Z,KVNX,D2,TVS,45,186,39,110,35.994,-98.225
2011-05-24T00:16:19Z,KVNX,D2,TVS,47,185,32,94,35.960,-98.212
2011-05-24T00:20:38Z,KVNX,D2,TVS,47,185,42,125,35.960,-98.212
2011-05-24T00:24:57Z,KVNX,D2,TVS,47,184,22,66,35.959,-98.195
2011-05-24T00:31:03Z,KOKC,E3,TVS,36,14,31,71,35.859,-97.331
2011-05-24T00:31:03Z,KOKC,Q2,TVS,38,15,29,70,35.888,-97.308
2011-05-24T00:33:37Z,KVNX,D2,TVS,49,180,22,71,35.923,-98.128
2011-05-24T00:33:37Z,KVNX,D2,TVS,45,179,25,75,35.990,-98.112
2011-05-24T00:42:15Z,KVNX,D2,TVS,50,177,31,99,35.908,-98.074
2011-05-24T00:42:15Z,KVNX,D2,TVS,50,180,18,57,35.907,-98.128
2011-05-24T00:46:34Z,KVNX,D2,TVS,50,175,28,90,35.910,-98.039
2011-05-24T00:46:45Z,KTLX,E1,TVS,52,313,25,83,35.922,-98.058
2011-05-24T00:49:02Z,KOKC,E3,TVS,35,23,30,68,35.813,-97.230
2011-05-24T00:49:02Z,KOKC,Q2,TVS,45,25,28,79,35.956,-97.120
2011-05-24T00:49:02Z,KOKC,Y3,TVS,46,326,25,73,35.911,-98.038
2011-05-24T00:49:02Z,KOKC,Y3,TVS,48,323,29,86,35.914,-98.103
2011-05-24T00:49:02Z,KOKC,Y3,TVS,46,322,21,60,35.880,-98.091
2011-05-24T00:50:54Z,KVNX,D2,TVS,51,173,25,81,35.896,-98.000
2011-05-24T00:50:54Z,KVNX,K1,TVS,48,191,25,75,35.955,-98.316
2011-05-24T00:51:23Z,KTLX,E1,TVS,49,313,23,73,35.889,-98.013
2011-05-24T00:55:01Z,KOKC,C4,TVS,44,28,30,85,35.924,-97.086
2011-05-24T00:55:01Z,KOKC,F4,TVS,46,326,23,66,35.911,-98.038
2011-05-24T00:55:01Z,KOKC,F4,TVS,44,322,42,121,35.853,-98.065
2011-05-24T00:55:01Z,KOKC,F4,TVS,44,327,20,56,35.891,-98.002
2011-05-24T00:55:01Z,KOKC,T3,TVS,44,329,26,72,35.905,-97.975
2011-05-24T00:55:13Z,KVNX,D2,TVS,53,173,35,117,35.863,-97.996
2011-05-24T00:55:13Z,KVNX,D2,TVS,50,175,19,59,35.910,-98.039
2011-05-24T00:55:58Z,KTLX,E1,TVS,48,314,25,77,35.887,-97.986
2011-05-24T00:59:31Z,KVNX,D2,TVS,51,170,23,78,35.903,-97.946
2011-05-24T00:59:31Z,KVNX,D2,TVS,53,171,31,104,35.867,-97.958
2011-05-24T01:00:34Z,KTLX,E1,TVS,46,313,28,80,35.855,-97.968
2011-05-24T01:03:51Z,KVNX,D2,TVS,53,170,39,125,35.870,-97.939
2011-05-24T01:07:01Z,KOKC,T3,TVS,42,326,36,94,35.856,-97.992
2011-05-24T01:13:00Z,KOKC,M4,TVS,43,322,24,65,35.840,-98.053
2011-05-24T01:13:00Z,KOKC,T3,TVS,41,329,33,83,35.862,-97.943
2011-05-24T01:18:59Z,KTLX,E1,TVS,40,317,27,71,35.820,-97.837
2011-05-24T01:18:59Z,KTLX,E1,TVS,44,314,29,78,35.841,-97.927
2011-05-24T01:21:08Z,KVNX,X2,TVS,49,201,28,87,35.977,-98.489
2011-05-24T01:23:35Z,KTLX,E1,TVS,39,318,29,77,35.816,-97.813
2011-05-24T01:28:12Z,KTLX,E1,TVS,42,317,27,72,35.844,-97.865
2011-05-24T01:30:59Z,KOKC,M4,TVS,46,332,22,66,35.953,-97.953
2011-05-24T01:30:59Z,KOKC,M4,TVS,43,331,27,74,35.903,-97.938
2011-05-24T01:30:59Z,KOKC,T3,TVS,32,338,37,72,35.771,-97.756
2011-05-24T01:34:07Z,KVNX,X2,TVS,48,193,26,80,35.960,-98.350
2011-05-24T01:36:59Z,KOKC,T3,TVS,30,342,36,70,35.752,-97.700
2011-05-24T01:37:24Z,KTLX,E1,TVS,33,320,42,91,35.754,-97.712
2011-05-24T01:37:24Z,KTLX,S4,TVS,41,320,30,79,35.856,-97.818
2011-05-24T01:38:25Z,KVNX,X2,TVS,49,194,24,73,35.947,-98.371
2011-05-24T01:42:00Z,KTLX,E1,TVS,34,319,48,101,35.760,-97.735
2011-05-24T01:42:00Z,KTLX,I5,TVS,43,52,24,65,35.773,-96.584
2011-05-24T01:42:46Z,KVNX,X2,TVS,49,191,17,53,35.938,-98.320
2011-05-24T01:46:37Z,KTLX,E1,TVS,28,320,38,73,35.690,-97.646
2011-05-24T01:47:06Z,KVNX,X2,TVS,49,190,26,83,35.936,-98.303
2011-05-24T01:51:25Z,KVNX,X2,TVS,51,190,34,107,35.903,-98.310
2011-05-24T01:57:47Z,KVNX,X2,TVS,51,186,19,63,35.895,-98.237
2011-05-24T02:06:57Z,KOKC,T3,TVS,28,350,44,77,35.736,-97.610
2011-05-24T02:18:52Z,KTLX,A3,TVS,49,306,18,56,35.811,-98.090
2011-05-24T02:18:56Z,KOKC,E6,TVS,43,318,27,71,35.808,-98.100
...TRIMMED...
summary
count,363
totalTimeInSeconds,0.026
